month,version_releases,new_packages
2005-03-01 00:00:00.000000 UTC,4,4
2005-04-01 00:00:00.000000 UTC,6,5
2005-05-01 00:00:00.000000 UTC,5,2
2005-06-01 00:00:00.000000 UTC,5,2
2005-07-01 00:00:00.000000 UTC,13,7
2005-08-01 00:00:00.000000 UTC,25,17
2005-09-01 00:00:00.000000 UTC,26,9
2005-10-01 00:00:00.000000 UTC,54,20
2005-11-01 00:00:00.000000 UTC,47,11
2005-12-01 00:00:00.000000 UTC,57,18
2006-01-01 00:00:00.000000 UTC,59,26
2006-02-01 00:00:00.000000 UTC,58,23
2006-03-01 00:00:00.000000 UTC,67,29
2006-04-01 00:00:00.000000 UTC,57,17
2006-05-01 00:00:00.000000 UTC,53,17
2006-06-01 00:00:00.000000 UTC,74,30
2006-07-01 00:00:00.000000 UTC,91,19
2006-08-01 00:00:00.000000 UTC,97,27
2006-09-01 00:00:00.000000 UTC,123,43
2006-10-01 00:00:00.000000 UTC,134,36
2006-11-01 00:00:00.000000 UTC,168,56
2006-12-01 00:00:00.000000 UTC,133,41
2007-01-01 00:00:00.000000 UTC,127,39
2007-02-01 00:00:00.000000 UTC,196,67
2007-03-01 00:00:00.000000 UTC,244,86
2007-04-01 00:00:00.000000 UTC,222,100
2007-05-01 00:00:00.000000 UTC,185,49
2007-06-01 00:00:00.000000 UTC,170,42
2007-07-01 00:00:00.000000 UTC,290,72
2007-08-01 00:00:00.000000 UTC,240,62
2007-09-01 00:00:00.000000 UTC,287,73
2007-10-01 00:00:00.000000 UTC,395,98
2007-11-01 00:00:00.000000 UTC,322,94
2007-12-01 00:00:00.000000 UTC,290,92
2008-01-01 00:00:00.000000 UTC,410,131
2008-02-01 00:00:00.000000 UTC,480,133
2008-03-01 00:00:00.000000 UTC,493,92
2008-04-01 00:00:00.000000 UTC,490,154
2008-05-01 00:00:00.000000 UTC,524,145
2008-06-01 00:00:00.000000 UTC,504,154
2008-07-01 00:00:00.000000 UTC,572,137
2008-08-01 00:00:00.000000 UTC,674,127
2008-09-01 00:00:00.000000 UTC,610,175
2008-10-01 00:00:00.000000 UTC,645,154
2008-11-01 00:00:00.000000 UTC,635,130
2008-12-01 00:00:00.000000 UTC,689,160
2009-01-01 00:00:00.000000 UTC,866,177
2009-02-01 00:00:00.000000 UTC,808,178
2009-03-01 00:00:00.000000 UTC,993,245
2009-04-01 00:00:00.000000 UTC,880,206
2009-05-01 00:00:00.000000 UTC,978,188
2009-06-01 00:00:00.000000 UTC,974,205
2009-07-01 00:00:00.000000 UTC,1029,188
2009-08-01 00:00:00.000000 UTC,1083,204
2009-09-01 00:00:00.000000 UTC,1098,221
2009-10-01 00:00:00.000000 UTC,1163,251
2009-11-01 00:00:00.000000 UTC,1273,249
2009-12-01 00:00:00.000000 UTC,1257,220
2010-01-01 00:00:00.000000 UTC,1231,226
2010-02-01 00:00:00.000000 UTC,1290,248
2010-03-01 00:00:00.000000 UTC,1458,291
2010-04-01 00:00:00.000000 UTC,1431,268
2010-05-01 00:00:00.000000 UTC,1348,260
2010-06-01 00:00:00.000000 UTC,1511,279
2010-07-01 00:00:00.000000 UTC,1673,354
2010-08-01 00:00:00.000000 UTC,1449,304
